Rank,Name,Active,Visits,Favourites,Likes,Dislikes,Rating
#1,Blox Fruits,"483,372","41,346,317,182","13,574,097","8,521,670","676,846",92.64
#2,Brookhaven 🏡RP,"474,141","55,635,148,446","22,117,653","6,108,763","955,845",86.47
#3,Dress To Impress 💜,"297,764","3,876,511,994","3,182,036","2,042,092","188,403",91.55
#4,PETS GO! ✨ [NEW],"172,411","145,691,211","199,254","275,267","20,140",93.18
#5,Murder Mystery 2,"159,531","18,310,453,247","19,306,585","8,001,198","786,705",91.05
#6,[UPDATE 1] Anime Vanguards,"142,586","534,044,793","578,491","1,592,383","52,159",96.83
#7,The Strongest Battlegrounds,"142,531","8,747,773,201","4,177,434","2,931,689","565,313",83.83
#8,Pet Simulator 99! 🎃,"131,088","1,527,851,114","1,479,726","2,586,908","106,245",96.05
#9,Adopt Me! ,"109,439","37,679,655,130","26,994,071","7,323,639","1,441,230",83.56
#10,Berry Avenue 🏠 RP,"77,150","4,495,186,748","2,309,040","681,793","99,257",87.29
#11,🎃 DOORS 👁️,"70,116","5,714,365,246","6,688,592","3,888,476","289,280",93.08
#12,🎃 RIVALS,"63,878","1,247,731,942","13,213,395","2,751,053","118,321",95.88
#13,[TEN SHADOWS] Jujutsu Shenanigans,"63,255","966,867,976","943,813","747,236","133,201",84.87
#14,🦇Anime Defenders,"63,015","3,031,330,440","683,248","1,940,077","59,410",97.03
#15,🎟️Dandy's World [ALPHA],"58,744","419,230,503","361,526","211,995","17,131",92.52
#16,(UPDATE 7) King Legacy,"48,482","3,160,603,105","2,277,534","1,338,140","135,726",90.79
#17,[🎃] Fisch,"44,174","23,455,912","149,970","74,557","9,433",88.77
#18,[⚔️PVP] Toilet Tower Defense,"42,748","5,053,264,586","1,116,753","1,143,631","163,039",87.52
#19,Five Nights TD [ENDLESS],"38,875","386,846,247","235,250","206,878","15,767",92.92
#20,✨🎃Evade 🎃✨,"37,301","5,225,026,775","5,355,653","2,116,112","130,103",94.21
#21,LifeTogether 🏠 RP (UPDATE 33),"36,427","1,100,346,999","3,249,898","405,470","32,053",92.67
